Invoice_ID,Customer_ID,Invoice_Date,Due_Date,Payment_Date,Amount_Billed,Discount,Amount_Received,Payment_Method,Salesperson_ID,Region,Is_Duplicate,Is_Leaked,Leakage_Type
INV00001,CUST0164,2023-04-13,2023-04-28,2023-05-27,20795,0.0,20795.0,Cash,SP008,South,0,0,
INV00002,CUST0036,2023-01-21,2023-03-07,2023-03-03,11265,0.0,11265.0,UPI,SP019,West,0,0,
INV00003,CUST0009,2023-04-10,2023-04-25,2023-04-22,21023,0.0,21023.0,Bank Transfer,SP008,North,0,0,
INV00004,CUST0144,2023-10-21,2023-11-05,2023-11-02,7433,0.0,7433.0,Card,SP008,West,0,0,
INV00005,CUST0151,2023-11-10,2023-12-10,2023-12-08,33693,0.0,33693.0,Bank Transfer,SP014,East,0,0,
INV00006,CUST0072,2023-02-28,2023-03-15,2023-03-13,23942,0.0,23942.0,Cash,SP004,North,0,0,
INV00007,CUST0098,2023-12-30,2024-01-14,2024-01-12,6267,0.0,6267.0,Cash,SP020,East,0,0,
INV00008,CUST0012,2023-05-15,2023-06-29,2023-06-29,35740,0.0,35740.0,UPI,SP013,North,0,0,
INV00009,CUST0142,2023-11-12,2023-12-12,2023-12-08,48021,12005.25,36015.75,Cash,SP019,South,0,0,
INV00010,CUST0181,2023-12-06,2023-12-21,2023-12-19,28483,0.0,28483.0,Bank Transfer,SP010,North,0,0,
INV00011,CUST0060,2023-07-25,2023-08-09,2023-08-11,40920,0.0,40920.0,Cash,SP015,East,0,0,
INV00012,CUST0042,2023-02-23,2023-03-25,2023-03-24,18417,0.0,18417.0,Bank Transfer,SP009,North,0,0,
INV00013,CUST0156,2023-08-06,2023-09-20,2023-09-20,10675,3411.52,7263.48,Bank Transfer,SP006,West,0,1,Over-discount
INV00014,CUST0098,2023-10-31,2023-11-30,2023-11-30,16534,0.0,16534.0,Bank Transfer,SP011,North,0,0,
INV00015,CUST0059,2023-07-09,2023-07-24,2023-07-20,29276,0.0,29276.0,Card,SP009,North,0,0,
INV00016,CUST0055,2023-10-07,2023-11-21,2023-12-04,17185,4296.25,12888.75,Cash,SP007,West,0,0,
INV00017,CUST0102,2023-02-10,2023-03-27,2023-03-27,43044,6456.6,36587.4,Bank Transfer,SP009,South,0,0,
INV00018,CUST0064,2023-12-10,2024-01-24,2024-01-22,7027,0.0,7027.0,Cash,SP019,West,0,0,
INV00019,CUST0150,2023-03-22,2023-04-21,2023-04-21,38159,0.0,37473.89,Bank Transfer,SP005,West,0,1,Underpayment
INV00020,CUST0024,2023-08-19,2023-09-03,2023-09-03,43952,12741.25,31210.75,Bank Transfer,SP006,West,0,1,Over-discount
INV00021,CUST0153,2023-02-02,2023-02-17,2023-02-22,28599,0.0,28599.0,Card,SP020,West,0,0,
INV00022,CUST0136,2023-04-09,2023-05-09,2023-05-09,24115,7100.49,17014.510000000002,UPI,SP004,East,0,1,Over-discount
INV00023,CUST0197,2023-04-11,2023-05-26,2023-05-26,13110,0.0,11206.81,UPI,SP010,West,0,1,Underpayment
INV00024,CUST0041,2023-09-12,2023-10-12,2023-11-07,30446,0.0,30446.0,Cash,SP017,South,0,0,
INV00025,CUST0130,2023-02-11,2023-02-26,2023-02-26,28419,0.0,28419.0,Cash,SP017,South,0,0,
INV00026,CUST0040,2023-02-21,2023-03-23,2023-03-19,27403,1370.15,26032.85,UPI,SP020,East,0,0,
INV00027,CUST0126,2023-05-23,2023-06-07,2023-06-26,38827,0.0,38827.0,Cash,SP010,South,0,0,
INV00028,CUST0015,2023-03-27,2023-04-11,2023-04-11,27299,5459.8,19755.690000000002,UPI,SP003,West,0,1,Underpayment
INV00029,CUST0018,2023-05-14,2023-06-28,2023-06-26,34467,1723.35,32743.65,Bank Transfer,SP016,South,0,0,
INV00030,CUST0068,2023-05-08,2023-06-22,2023-06-22,31105,0.0,31105.0,Card,SP007,South,0,0,
INV00031,CUST0183,2023-10-10,2023-11-09,2023-11-09,11776,2371.57,9404.43,Cash,SP015,West,0,1,Over-discount
INV00032,CUST0031,2023-05-17,2023-06-01,2023-05-30,8748,0.0,8748.0,UPI,SP011,North,0,0,
INV00033,CUST0151,2023-06-09,2023-07-24,2023-07-24,35303,0.0,35303.0,Bank Transfer,SP001,North,0,0,
INV00034,CUST0182,2023-02-21,2023-04-07,2023-04-07,22675,0.0,22675.0,Bank Transfer,SP003,North,0,0,
INV00035,CUST0085,2023-04-11,2023-04-26,2023-04-25,25080,5016.0,20064.0,Bank Transfer,SP009,West,0,0,
INV00036,CUST0055,2023-05-10,2023-06-24,2023-06-24,5854,0.0,5854.0,Card,SP008,West,1,1,Duplicate
INV00037,CUST0105,2023-05-06,2023-05-21,,26556,0.0,0.0,UPI,SP014,East,0,1,Missing Payment
INV00038,CUST0109,2023-09-04,2023-10-04,2023-10-04,9931,0.0,9931.0,UPI,SP004,North,0,0,
INV00039,CUST0104,2023-09-12,2023-10-27,2023-11-02,42157,0.0,42157.0,UPI,SP008,South,0,0,
INV00040,CUST0049,2023-08-28,2023-10-12,2023-10-08,27671,4150.65,23520.35,Bank Transfer,SP014,South,0,0,
INV00041,CUST0072,2023-09-16,2023-10-16,2023-10-14,7811,0.0,7811.0,UPI,SP015,North,0,0,
INV00042,CUST0013,2023-05-27,2023-07-11,2023-07-11,16411,0.0,16411.0,UPI,SP003,South,0,0,
INV00043,CUST0043,2023-05-08,2023-06-07,2023-06-04,28078,4211.7,23866.3,Card,SP007,West,0,0,
INV00044,CUST0016,2023-05-31,2023-06-15,2023-06-12,26918,4037.7,22880.3,UPI,SP013,East,0,0,
INV00045,CUST0117,2023-05-24,2023-06-23,2023-06-23,36065,5409.75,30655.25,Card,SP005,South,0,0,
INV00046,CUST0076,2023-01-02,2023-01-17,2023-01-17,36616,13917.14,22698.86,UPI,SP011,North,0,1,Over-discount
INV00047,CUST0013,2023-01-09,2023-02-23,2023-02-26,12400,0.0,12400.0,Bank Transfer,SP002,North,0,0,
INV00048,CUST0048,2023-06-01,2023-06-16,2023-06-16,17183,3436.6,13746.4,UPI,SP008,West,1,1,Duplicate
INV00049,CUST0031,2023-04-14,2023-05-29,,7557,377.85,0.0,UPI,SP020,North,0,1,Missing Payment
INV00050,CUST0108,2023-12-04,2024-01-18,2024-01-27,16969,0.0,16969.0,Cash,SP009,South,0,0,
INV00051,CUST0172,2023-06-10,2023-07-25,2023-07-22,43467,0.0,43467.0,Bank Transfer,SP009,West,0,0,
INV00052,CUST0034,2023-05-15,2023-06-29,2023-07-11,38986,0.0,38986.0,Cash,SP015,East,0,0,
INV00053,CUST0193,2023-01-22,2023-02-06,,11893,0.0,0.0,Card,SP020,North,0,1,Missing Payment
INV00054,CUST0019,2023-02-20,2023-04-06,2023-04-02,15677,783.85,14893.15,Cash,SP005,East,0,0,
INV00055,CUST0018,2023-10-13,2023-10-28,2023-10-24,37352,0.0,37352.0,Cash,SP006,West,0,0,
INV00056,CUST0140,2023-11-13,2023-12-28,2023-12-28,14007,0.0,14007.0,UPI,SP018,East,0,0,
INV00057,CUST0170,2023-01-17,2023-02-01,2023-02-01,23589,1179.45,22409.55,Cash,SP004,North,1,1,Duplicate
INV00058,CUST0191,2023-04-09,2023-05-24,2023-05-24,37635,0.0,37635.0,Cash,SP010,South,1,1,Duplicate
INV00059,CUST0184,2023-10-29,2023-11-28,2023-11-24,5699,284.95,5414.05,Cash,SP017,West,0,0,
INV00060,CUST0065,2023-06-10,2023-06-25,2023-07-17,24778,0.0,24778.0,Card,SP009,North,0,0,
INV00061,CUST0001,2023-02-27,2023-03-29,2023-03-28,43210,0.0,43210.0,Cash,SP006,West,0,0,
INV00062,CUST0142,2023-05-07,2023-06-21,2023-06-21,21538,0.0,21538.0,UPI,SP004,North,0,0,
INV00063,CUST0177,2023-10-26,2023-11-10,2023-11-09,17533,0.0,17533.0,UPI,SP012,South,0,0,
INV00064,CUST0111,2023-12-21,2024-01-05,2024-01-05,34592,0.0,34592.0,Cash,SP012,North,0,0,
INV00065,CUST0092,2023-02-05,2023-02-20,2023-02-17,9780,0.0,9780.0,Bank Transfer,SP004,East,0,0,
INV00066,CUST0200,2023-05-23,2023-07-07,2023-07-05,18403,0.0,18403.0,Bank Transfer,SP008,South,0,0,
INV00067,CUST0046,2023-06-02,2023-07-02,2023-06-29,27677,0.0,27677.0,Bank Transfer,SP011,West,0,0,
INV00068,CUST0172,2023-06-19,2023-08-03,2023-07-30,34749,0.0,34749.0,Cash,SP006,North,0,0,
INV00069,CUST0098,2023-03-01,2023-03-16,2023-03-12,8051,1207.65,6843.35,Bank Transfer,SP007,West,0,0,
INV00070,CUST0090,2023-12-16,2024-01-15,2024-01-11,9142,0.0,9142.0,Bank Transfer,SP001,South,0,0,
INV00071,CUST0103,2023-05-04,2023-06-03,2023-06-01,23077,0.0,23077.0,UPI,SP009,East,0,0,
INV00072,CUST0165,2023-04-02,2023-05-17,2023-05-13,42945,0.0,42945.0,Cash,SP001,North,0,0,
INV00073,CUST0067,2023-11-14,2023-11-29,2023-11-28,6150,0.0,6150.0,Cash,SP002,North,0,0,
INV00074,CUST0153,2023-05-02,2023-06-01,2023-06-01,21896,0.0,21896.0,Cash,SP014,North,0,0,
INV00075,CUST0099,2023-08-25,2023-10-09,2023-10-14,8343,0.0,8343.0,Cash,SP002,West,0,0,
INV00076,CUST0001,2023-10-05,2023-11-19,2023-11-15,13130,0.0,13130.0,Bank Transfer,SP012,West,0,0,
INV00077,CUST0018,2023-03-27,2023-05-11,2023-05-11,24128,0.0,24128.0,Cash,SP004,East,0,0,
INV00078,CUST0130,2023-04-04,2023-05-04,2023-05-03,35445,8861.25,26583.75,Card,SP011,West,0,0,
INV00079,CUST0179,2023-12-07,2024-01-06,2024-01-02,34222,0.0,34222.0,Bank Transfer,SP007,West,0,0,
INV00080,CUST0171,2023-01-23,2023-02-22,2023-02-24,43649,0.0,43649.0,Bank Transfer,SP020,East,0,0,
INV00081,CUST0104,2023-06-29,2023-08-13,2023-08-13,45158,0.0,45158.0,Cash,SP010,South,1,1,Duplicate
INV00082,CUST0111,2023-04-06,2023-05-21,2023-05-20,46975,0.0,46975.0,Cash,SP015,West,0,0,
INV00083,CUST0114,2023-06-09,2023-07-24,2023-07-21,5851,0.0,5851.0,Card,SP006,North,0,0,
INV00084,CUST0073,2023-02-02,2023-03-19,2023-03-19,9000,2250.0,4685.15,Cash,SP003,South,0,1,Underpayment
INV00085,CUST0173,2023-03-06,2023-04-05,2023-04-01,43304,0.0,43304.0,Bank Transfer,SP005,North,0,0,
INV00086,CUST0012,2023-01-12,2023-01-27,2023-01-26,43494,0.0,43494.0,UPI,SP015,West,0,0,
INV00087,CUST0162,2023-02-04,2023-03-21,2023-03-20,32350,0.0,32350.0,Card,SP016,West,0,0,
INV00088,CUST0063,2023-03-31,2023-04-15,2023-04-12,16261,4065.25,12195.75,UPI,SP004,West,0,0,
INV00089,CUST0057,2023-11-10,2023-11-25,2023-11-25,29052,0.0,29052.0,Card,SP002,South,1,1,Duplicate
INV00090,CUST0032,2023-08-05,2023-09-04,2023-09-04,28548,0.0,28548.0,Card,SP017,East,0,0,
INV00091,CUST0194,2023-07-11,2023-08-10,2023-08-06,22506,0.0,22506.0,Card,SP018,West,0,0,
INV00092,CUST0041,2023-09-25,2023-11-09,2023-11-12,41208,0.0,41208.0,Card,SP009,South,0,0,
INV00093,CUST0164,2023-12-27,2024-01-26,2024-01-26,49912,0.0,48611.88,Card,SP008,East,0,1,Underpayment
INV00094,CUST0113,2023-07-06,2023-07-21,2023-07-21,44954,0.0,44954.0,Cash,SP008,East,0,0,
INV00095,CUST0086,2023-03-17,2023-04-16,,9360,0.0,0.0,UPI,SP005,South,0,1,Missing Payment
INV00096,CUST0060,2023-02-21,2023-03-23,2023-03-20,10486,0.0,10486.0,Bank Transfer,SP007,North,0,0,
INV00097,CUST0107,2023-01-25,2023-02-24,2023-02-24,36667,0.0,34188.05,Card,SP014,North,0,1,Underpayment
INV00098,CUST0053,2023-02-26,2023-03-28,2023-03-27,6062,0.0,6062.0,UPI,SP019,West,0,0,
INV00099,CUST0123,2023-05-13,2023-05-28,2023-05-27,28714,2871.4,25842.6,Cash,SP013,West,0,0,
INV00100,CUST0138,2023-08-27,2023-10-11,2023-10-11,11731,0.0,9063.83,Bank Transfer,SP016,South,0,1,Underpayment
INV00101,CUST0070,2023-08-18,2023-09-17,2023-09-17,6542,0.0,6542.0,UPI,SP013,East,0,0,
INV00102,CUST0172,2023-10-10,2023-11-24,2023-11-22,24065,0.0,24065.0,Bank Transfer,SP015,South,0,0,
INV00103,CUST0160,2023-05-16,2023-06-30,2023-06-30,18807,4651.67,14155.33,Card,SP019,North,0,1,Over-discount
INV00104,CUST0022,2023-11-23,2024-01-07,2024-01-04,42080,0.0,42080.0,Bank Transfer,SP015,South,0,0,
INV00105,CUST0013,2023-10-02,2023-11-01,2023-11-11,11588,0.0,11588.0,Cash,SP007,West,0,0,
INV00106,CUST0084,2023-12-12,2024-01-11,2024-01-07,33178,0.0,33178.0,Cash,SP014,East,0,0,
INV00107,CUST0021,2023-08-30,2023-09-29,2023-10-07,14435,0.0,14435.0,UPI,SP012,South,0,0,
INV00108,CUST0167,2023-11-13,2023-11-28,2023-12-11,30470,0.0,30470.0,UPI,SP001,South,0,0,
INV00109,CUST0052,2023-12-14,2023-12-29,2023-12-29,5504,0.0,5504.0,Bank Transfer,SP008,South,0,0,
INV00110,CUST0122,2023-04-27,2023-06-11,,7105,0.0,0.0,Bank Transfer,SP015,East,0,1,Missing Payment
INV00111,CUST0197,2023-11-13,2023-12-13,2023-12-11,42678,2133.9,40544.1,UPI,SP006,East,0,0,
INV00112,CUST0028,2023-09-09,2023-10-24,2023-11-18,26732,0.0,26732.0,Cash,SP019,West,0,0,
INV00113,CUST0102,2023-02-16,2023-04-02,2023-04-02,22640,0.0,22640.0,UPI,SP019,South,0,0,
INV00114,CUST0027,2023-02-23,2023-04-09,2023-04-20,45821,0.0,45821.0,UPI,SP019,North,0,0,
INV00115,CUST0089,2023-01-12,2023-02-26,2023-02-26,39121,11389.35,27731.65,Cash,SP003,East,0,1,Over-discount
INV00116,CUST0004,2023-06-05,2023-07-05,2023-07-13,34703,0.0,34703.0,UPI,SP014,East,0,0,
INV00117,CUST0163,2023-07-05,2023-08-04,2023-08-04,45251,0.0,45251.0,Bank Transfer,SP014,South,0,0,
INV00118,CUST0188,2023-08-16,2023-09-30,2023-09-30,25159,0.0,25159.0,Cash,SP020,West,0,0,
INV00119,CUST0120,2023-07-31,2023-08-30,2023-08-28,40547,0.0,40547.0,Cash,SP011,South,0,0,
INV00120,CUST0023,2023-09-10,2023-10-10,2023-11-04,10713,0.0,10713.0,Bank Transfer,SP015,West,0,0,
INV00121,CUST0087,2023-01-10,2023-01-25,2023-01-30,24255,3638.25,20616.75,Cash,SP006,West,0,0,
INV00122,CUST0055,2023-04-29,2023-05-29,2023-05-29,6015,0.0,3046.81,Cash,SP009,East,0,1,Underpayment
INV00123,CUST0143,2023-06-26,2023-07-11,,28833,0.0,0.0,Bank Transfer,SP003,South,0,1,Missing Payment
INV00124,CUST0185,2023-10-10,2023-11-09,2023-11-07,26168,3925.2,22242.8,Bank Transfer,SP016,West,0,0,
INV00125,CUST0115,2023-11-07,2023-11-22,2023-11-18,34189,0.0,34189.0,Cash,SP008,West,0,0,
INV00126,CUST0178,2023-12-24,2024-01-08,2024-01-08,20106,0.0,17244.09,Cash,SP016,East,0,1,Underpayment
INV00127,CUST0109,2023-03-24,2023-05-08,2023-05-08,18456,0.0,18456.0,Cash,SP012,West,0,0,
INV00128,CUST0070,2023-02-20,2023-03-22,2023-03-22,22100,7765.94,14334.060000000001,Bank Transfer,SP004,South,0,1,Over-discount
INV00129,CUST0081,2023-02-03,2023-02-18,2023-02-17,41187,0.0,41187.0,Bank Transfer,SP007,South,0,0,
INV00130,CUST0190,2023-06-11,2023-07-11,2023-07-11,48125,4812.5,43312.5,Cash,SP004,South,0,0,
INV00131,CUST0076,2023-02-23,2023-03-10,2023-03-10,13427,3768.91,9658.09,Bank Transfer,SP010,North,0,1,Over-discount
INV00132,CUST0182,2023-04-22,2023-06-06,2023-06-06,24198,0.0,22147.23,Cash,SP002,North,0,1,Underpayment
INV00133,CUST0142,2023-03-07,2023-04-06,2023-04-03,31698,0.0,31698.0,Bank Transfer,SP016,North,0,0,
INV00134,CUST0004,2023-08-14,2023-09-28,2023-10-13,11949,0.0,11949.0,Card,SP016,West,0,0,
INV00135,CUST0088,2023-12-13,2023-12-28,2023-12-25,15209,0.0,15209.0,Cash,SP016,North,0,0,
INV00136,CUST0017,2023-01-30,2023-03-01,2023-03-30,9854,0.0,9854.0,UPI,SP019,North,0,0,
INV00137,CUST0039,2023-05-18,2023-06-02,2023-05-29,24856,0.0,24856.0,Cash,SP003,South,0,0,
INV00138,CUST0031,2023-02-03,2023-03-20,2023-03-18,12941,0.0,12941.0,Bank Transfer,SP017,West,0,0,
INV00139,CUST0116,2023-02-12,2023-03-14,2023-03-12,17015,0.0,17015.0,Card,SP010,North,0,0,
INV00140,CUST0157,2023-01-08,2023-02-22,2023-02-22,47679,14448.99,33230.01,Bank Transfer,SP007,East,0,1,Over-discount
INV00141,CUST0170,2023-06-09,2023-06-24,2023-06-20,15161,0.0,15161.0,Bank Transfer,SP006,North,0,0,
INV00142,CUST0041,2023-01-05,2023-01-20,2023-01-16,26969,0.0,26969.0,Card,SP020,West,0,0,
INV00143,CUST0075,2023-11-22,2023-12-07,2023-12-07,44144,9965.49,34178.51,Cash,SP010,West,0,1,Over-discount
INV00144,CUST0019,2023-08-06,2023-09-20,2023-09-20,21282,0.0,19212.25,Cash,SP019,South,0,1,Underpayment
INV00145,CUST0109,2023-08-27,2023-09-11,2023-09-08,24262,0.0,24262.0,Bank Transfer,SP005,East,0,0,
INV00146,CUST0037,2023-09-14,2023-09-29,2023-09-28,19178,0.0,19178.0,Bank Transfer,SP010,East,0,0,
INV00147,CUST0113,2023-01-28,2023-02-12,2023-03-10,13150,0.0,13150.0,Cash,SP013,East,0,0,
INV00148,CUST0129,2023-01-14,2023-02-28,2023-03-15,20034,0.0,20034.0,Card,SP003,North,0,0,
INV00149,CUST0111,2023-08-26,2023-10-10,2023-10-10,43638,11818.45,31819.55,Cash,SP001,North,0,1,Over-discount
INV00150,CUST0059,2023-01-15,2023-03-01,2023-03-01,13152,0.0,13152.0,UPI,SP009,North,0,0,
INV00151,CUST0196,2023-09-30,2023-10-15,2023-10-15,34926,0.0,34926.0,Card,SP009,South,0,0,
INV00152,CUST0150,2023-05-25,2023-06-24,2023-06-27,8596,0.0,8596.0,Card,SP003,West,0,0,
INV00153,CUST0090,2023-08-21,2023-09-20,2023-10-05,31734,0.0,31734.0,Cash,SP004,South,0,0,
INV00154,CUST0085,2023-09-21,2023-10-21,2023-10-21,17199,0.0,17199.0,Card,SP010,West,0,0,
